Item,Smu1_Time(1)(1),Smu1_V(1)(1),Smu1_I(1)(1),Smu2_Time(1)(1),Smu2_V(1)(1),Smu2_I(1)(1),
1,0,-5,-1.81964041057192E-10,0,15,1.49039634800285E-11,
2,2.484988,-4.55000019073486,3.62675889320485E-10,1.220049,15,4.41495312530904E-11,
3,3.705037,-4.09999990463257,-1.67358626956826E-10,2.440098,15,-6.0145855310112E-13,
4,8.065752,-3.65000009536743,-8.87081588740735E-11,3.660147,15,1.03291628722468E-11,
5,10.706294,-3.20000004768372,-7.14871911666748E-11,7.721031,15,3.22644710427922E-12,
6,11.926343,-2.75,-4.0950787899563E-11,10.361404,15,3.65558885245809E-12,
7,13.146393,-2.29999995231628,-2.5579620019367E-11,11.581454,15,3.34455965526892E-12,
8,14.366953,-1.85000002384186,-1.34344696825495E-11,12.801503,15,3.74579447320889E-12,
9,15.587002,-1.39999997615814,-5.57482228782935E-12,14.022063,15,3.00577878559194E-12,
10,16.807051,-0.949999988079071,2.96958681603177E-12,15.242112,15,3.05316449206172E-12,
11,18.0271,-0.5,8.75383619758363E-12,16.462161,15,2.54787206957485E-12,
12,19.247663,-0.0500000007450581,1.52966389554976E-11,17.68221,15,2.73171676251627E-12,
13,20.468337,0.400000005960464,1.25325800084952E-11,18.902773,15,3.55494035901224E-13,
14,21.688386,0.850000023841858,2.30650429311474E-11,20.123447,15,2.36576795480115E-12,
15,22.908435,1.29999995231628,2.82183772876143E-11,21.3435,15,2.82466411372084E-12,
16,24.128488,1.75,3.14609067963989E-11,22.563549,15,2.5562286662395E-12,
17,25.349439,2.20000004768372,3.64882117576126E-11,23.783598,15,2.81045434320781E-12,
18,26.569488,2.65000009536743,4.17749064507422E-11,25.004549,15,2.94705622752578E-12,
19,27.789537,3.09999990463257,4.79033583633548E-11,26.224598,15,2.01678279111717E-12,
20,29.009586,3.54999995231628,5.68785782362191E-11,27.444647,15,2.45097887298373E-12,
21,30.229635,4,6.98062441184533E-11,28.664697,15,2.34202154197893E-12,
22,31.449685,4.44999980926514,8.63705634790435E-11,29.884746,15,2.52316006629782E-12,
23,34.090123,4.90000009536743,1.07252949577141E-10,31.104795,15,2.88528207402494E-12,
24,35.010173,5.34999990463257,1.58489221746549E-10,33.745234,15,2.12806465157978E-12,
25,36.230222,5.80000019073486,1.92273613697225E-10,34.965283,15,1.66755921137546E-12,
26,37.450271,6.25,2.28399146817715E-10,36.185332,15,2.06313134978875E-12,
27,38.67032,6.69999980926514,2.68526534341618E-10,37.405381,15,2.28561158714669E-12,
28,39.890369,7.15000009536743,3.0895316860402E-10,38.62543,15,2.24416253809256E-12,
29,41.110418,7.59999990463257,3.6043965034871E-10,39.845483,15,1.98068623134817E-12,
30,42.330471,8.05000019073486,4.04235839246425E-10,41.065532,15,1.93499339815051E-12,
31,43.55052,8.5,4.47657466651208E-10,42.285581,15,7.25185861881472E-13,
32,44.770569,8.94999980926514,4.95016083679189E-10,43.50563,15,-4.93752987714563E-13,
33,45.990618,9.39999961853027,5.36914346316308E-10,44.725679,15,6.89089302112478E-13,
34,47.210667,9.85000038146973,5.93747717658744E-10,45.945728,15,1.63203478509288E-12,
35,48.430716,10.3000001907349,6.44401532134964E-10,47.165777,15,2.42161759395065E-12,
36,49.650766,10.75,6.89944712473078E-10,48.385827,15,8.70704658546828E-13,
37,50.870815,11.1999998092651,7.36091021469321E-10,49.605876,15,2.35285770901206E-12,
38,52.090864,11.6499996185303,7.90638554626355E-10,50.825925,15,-5.62214879686052E-13,
39,53.310913,12.1000003814697,8.4804629985058E-10,52.045974,15,2.32427120085144E-12,
40,54.530962,12.5500001907349,8.93088547559984E-10,53.266023,15,-4.95672242400297E-13,
41,55.751011,13,9.49734180188955E-10,54.486072,15,3.59960802484571E-12,
42,57.1264,13.4499998092651,9.80999503852331E-10,55.706121,15,5.41996948624085E-13,
43,57.381109,13.8999996185303,1.26751298346051E-09,56.926174,15,2.05248600233798E-12,
44,58.601162,14.3500003814697,1.31769772870882E-09,58.146223,15,2.09240914525455E-12,
45,59.821211,14.8000001907349,1.3601982873368E-09,59.366272,15,1.97608466048771E-12,
46,61.041261,15.25,1.42014022763703E-09,60.586322,15,1.99912785978085E-12,
47,62.26131,15.6999998092651,1.45514367222432E-09,61.806371,15,1.48295167378548E-12,
48,63.481359,16.1499996185303,1.50145296196058E-09,63.02642,15,1.7078637766163E-12,
49,64.701408,16.6000003814697,1.5667546149345E-09,64.246469,15,1.91681392980314E-12,
50,65.921457,17.0499992370605,1.62501934131143E-09,65.466518,15,1.87362430258131E-12,
51,67.141506,17.5,1.67134517337075E-09,66.686567,15,1.8713236255713E-12,
52,68.361555,17.9500007629395,1.72163361344957E-09,67.906616,15,1.51231295281856E-12,
53,69.581604,18.3999996185303,1.79297443558823E-09,69.126665,15,1.49372820969912E-12,
54,70.801653,18.8500003814697,1.84413906367809E-09,70.346714,15,1.77515749495705E-12,
55,72.021703,19.2999992370605,1.90837257108001E-09,71.566764,15,1.58095949526205E-11,
56,73.241752,19.75,2.02110173042058E-09,72.786813,15,-1.14089493061242E-11,
57,74.465408,20.2000007629395,2.06595895946293E-09,74.006866,15,1.84739831939063E-12,
58,75.681854,20.6499996185303,2.1383321779922E-09,75.226915,15,2.93183337850278E-13,
59,76.901904,21.1000003814697,2.20104690029643E-09,76.446965,15,1.6098618748836E-12,
60,78.121953,21.5499992370605,2.29095342696439E-09,77.667014,15,1.04224680101683E-12,
61,79.342002,22,2.36449837487385E-09,78.887063,15,1.12650394654829E-12,
62,80.562051,22.4500007629395,2.4556803257525E-09,80.107112,15,1.75179250445912E-12,
63,81.7821,22.8999996185303,2.54985321745949E-09,81.327161,15,4.713928900002E-12,
64,83.002149,23.3500003814697,2.63670441036368E-09,82.54721,15,-1.48763661979301E-12,
65,84.222199,23.7999992370605,2.74851075232618E-09,83.76726,15,3.71336940146669E-14,
66,85.442248,24.25,2.89476864701044E-09,84.987312,15,1.99806696795507E-13,
67,86.6623,24.7000007629395,2.96864866022872E-09,86.207361,15,1.32294891187767E-12,
68,87.882353,25.1499996185303,3.10122016955461E-09,87.42741,15,2.07710259582383E-12,
69,89.102398,25.6000003814697,3.25220339547627E-09,88.647459,15,2.1048785544403E-12,
70,90.322447,26.0499992370605,3.39732175724805E-09,89.867508,15,1.39945748132281E-12,
71,91.542496,26.5,3.5164879896854E-09,91.087561,15,1.49879457803093E-12,
72,92.762549,26.9500007629395,3.72076636168117E-09,92.30761,15,1.88688040886342E-12,
73,93.982598,27.3999996185303,3.90747079137554E-09,93.527659,15,1.63475277151909E-12,
74,95.202647,27.8500003814697,4.07901978860536E-09,94.747708,15,1.77744624574316E-12,
75,96.422696,28.2999992370605,4.24035295765179E-09,95.967757,15,1.59555680299961E-12,
76,97.642745,28.75,4.48184467316537E-09,97.187806,15,1.48801804211729E-12,
77,98.862794,29.2000007629395,4.66354022066184E-09,98.407855,15,1.8158197384946E-12,
78,100.082843,29.6499996185303,4.89235141287736E-09,99.627904,15,1.50804520780701E-12,
79,101.302892,30.1000003814697,5.10568964884328E-09,100.847953,15,1.57967812008247E-12,
80,102.522941,30.5499992370605,5.33494226573339E-09,102.068002,15,1.1431217300864E-12,
81,103.74299,31,5.6301723283525E-09,103.288051,15,-6.48447268103425E-12,
82,104.963043,31.4500007629395,5.85297232902349E-09,104.5081,15,7.92251854397907E-12,
83,106.183088,31.8999996185303,6.18656637030313E-09,105.728149,15,3.07332284621431E-12,
84,107.403138,32.3499984741211,6.54965282009812E-09,106.948199,15,1.93034412239446E-12,
85,108.623187,32.7999992370605,6.82479273095282E-09,108.168252,15,1.79841525786012E-12,
86,109.84324,33.25,7.19290271788964E-09,109.388301,15,1.60094507095643E-12,
87,111.063289,33.7000007629395,7.52667883574532E-09,110.60835,15,1.86648374707332E-12,
88,112.283338,34.1500015258789,7.93307997071224E-09,111.828399,15,1.3957381257701E-12,
89,113.503387,34.5999984741211,8.36050251251663E-09,113.048448,15,1.45163536139498E-12,
90,114.723436,35.0499992370605,8.76477912470364E-09,114.268497,15,1.35753160015323E-12,
91,115.943485,35.5,9.28844290370989E-09,115.488546,15,1.44120457755414E-12,
92,117.163534,35.9500007629395,9.75430136662681E-09,116.708595,15,1.33793356168338E-12,
93,118.463915,36.4000015258789,1.02785708833153E-08,117.928644,15,8.32557709839338E-13,
94,119.528632,36.8499984741211,1.20410561521567E-08,119.148693,15,1.93568468545569E-12,
95,120.748681,37.2999992370605,1.25939010331422E-08,120.368742,15,1.36668682013813E-12,
96,121.968734,37.75,1.31770727662683E-08,121.588791,15,1.17547519027511E-12,
97,123.188779,38.2000007629395,1.38308404729059E-08,122.80884,15,1.57854556249309E-12,
98,124.408828,38.6500015258789,1.44404532775866E-08,124.028889,15,-4.4060946297747E-13,
99,125.628877,39.0999984741211,1.51216514865382E-08,125.248942,15,1.24801395346569E-12,
100,126.84893,39.5499992370605,1.5951133747194E-08,126.468991,15,3.66973893764153E-13,
101,128.068979,40,1.65842184429721E-08,127.68904,15,2.3359536961004E-12,
